School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
ALBANY CITY SCHOOL DISTRICT,WEST HILL MIDDLE SCHOOL,Albany,Public School,50,No,0,0,0,50,Yes,10/09/2016,47,3,Yes,Yes,12/05/2016,http://www.albanyschools.com/,010100010046,,,,,11/16/2016,12/07/2016,"(42.678066, -73.814233)",
BOCES No District Name,WSWHE BOCES SOUTH ADIRONDACK EDUCATIONAL CENTER BUILDING K (LEAD ONLY),Washington,BOCES School,,No,,,,,No,,,,No,No,,,649000000059,1051 DIX AVENUE,HUDSONFALLS,NY,12839,,,"(43.289513, -73.454761)","1051 DIX AVENUE
HUDSONFALLS, NY 12839
(43.31929929900008, -73.59206215299997)"
BUFFALO CITY SCHOOLS,PS 48 AT 39 SCHOOL,Erie,Public School,129,No,0,0,0,129,Yes,09/24/2016,119,10,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010048,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 91 B.U.I.L.D. ACADEMY,Erie,Public School,107,No,0,0,0,107,Yes,09/24/2016,102,5,Yes,Yes,10/24/2016,www.buffaloschools.org,140600010032,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 90 DR. CHARLES R DREW EARLY CHILDHOOD CENTER,Erie,Public School,92,No,0,0,0,92,Yes,09/22/2016,91,1,Yes,Yes,11/14/2016,www.buffaloschools.org,140600010090,,,,,02/06/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 200 BENNETT HIGH SCHOOL,Erie,Public School,161,No,0,0,0,161,Yes,10/04/2016,158,3,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010099,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 68 WESTMINSTER COMMUNITY CHARTER SCHOOL,Erie,Public School,58,No,0,0,0,58,Yes,09/24/2016,58,0,Yes,Yes,09/26/2016,www.buffaloschools.org,140600010068,,,,,01/26/2017,01/26/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 204 LAFAYETTE HIGH SCHOOL,Erie,Public School,75,No,0,0,0,75,Yes,10/04/2016,64,11,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010107,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
BUFFALO CITY SCHOOLS,PS 307 EAST HIGH SCHOOL,Erie,Public School,112,No,0,0,0,112,Yes,10/05/2016,100,12,Yes,Yes,11/10/2016,www.buffaloschools.org,140600010307,,,,,01/20/2017,01/20/2017,"(42.888143, -78.795544)",
CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL SQUARE INTERMEDIATE SCHOOL,Oswego,Public School,87,No,32,0,0,50,Yes,09/29/2016,75,12,Yes,Yes,10/20/2016,http://www.cssd.org/,460801060003,,,,,11/08/2016,11/08/2016,"(43.39123, -76.31133)",
GLOVERSVILLE ENLARGED SCHOOL DISTRICT,MCNAB-MECO ELEMENTARY SCHOOL,Fulton,Public School,45,No,0,0,0,45,Yes,09/17/2016,40,5,Yes,Yes,10/06/2016,www.gesdk12.org,170500010006,,,,,11/09/2016,11/09/2016,"(43.06014, -74.331296)",
HUDSON CITY SCHOOLS,JOHN L EDWARDS SCHOOL,Columbia,Public School,102,No,0,0,0,102,Yes,09/28/2016,96,6,Yes,Yes,11/16/2016,hudsoncityschooldistrict.com,101300010002,,,,,12/30/2016,11/29/2016,"(42.276913, -73.682168)",
MOUNT PLEASANT-COTTAGE U F S,MT PLEASANT COTTAGE MID/ELEM SCHOOL,Westchester,Public School,67,No,0,0,0,63,Yes,09/24/2016,63,4,Yes,Yes,10/19/2016,www.mpcsny.org  under District Information and compliance Please not MPCS High School and Middle/Elementary are the same facility,660804020004,,,,,11/07/2016,11/07/2016,"(41.039278, -73.805386)",
OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,OTEGO ELEM SCHOOL,Otsego,Public School,34,No,0,0,0,34,Yes,10/26/2016,32,2,Yes,Yes,11/01/2016,www.Unatego.org,471601040002,,,,,11/09/2016,11/09/2016,"(42.564852, -75.060334)",
ROCHESTER CITY SCHOOLS,SCHOOL  1 MARTIN B ANDERSON,Monroe,Public School,47,No,39,0,0,4,Yes,10/10/2016,47,0,Yes,Yes,10/13/2016,rcsdk12.org,261600010001,,,,,01/03/2017,01/03/2017,"(43.161748, -77.620143)",
ROCHESTER CITY SCHOOLS,SCHOOL  7 VIRGIL GRISSOM,Monroe,Public School,,No,,,,,No,,,,No,No,,,261600010007,31 BRYAN ST,ROCHESTER,NY,14613,,,"(43.161748, -77.620143)","31 BRYAN ST
ROCHESTER, NY 14613
(43.184368481000035, -77.63792824899997)"
SYRACUSE CITY SCHOOLS,GEORGE FOWLER H S,Onondaga,Public School,118,No,0,0,0,118,Yes,10/16/2016,114,4,Yes,Yes,01/05/2017,www.syracusecityschools.com,421800010049,,,,,11/10/2016,02/23/2017,"(43.065629, -76.168033)",
UNION SPRINGS CENTRAL SCHOOL DISTRICT,CAYUGA ES,Cayuga,Public School,41,No,39,0,0,0,Yes,03/03/2016,39,2,Yes,Yes,03/03/2016,www.unionspringscsd.org,051901040003,,,,,09/25/2018,10/18/2018,"(42.940095, -76.560755)",
DEPOSIT CENTRAL SCHOOL DISTRICT,DEPOSIT JSHS,Broome,Public School,74,No,0,0,0,74,Yes,10/25/2016,74,0,Yes,Yes,12/14/2016,www.depositcsd.org,031301040003,171 SECOND ST,DEPOSIT,NY,13754,10/30/2018,10/15/2018,"(42.122015, -75.933191)","171 SECOND ST
DEPOSIT, NY 13754
(42.06550878500008, -75.41901937199998)"
EAST BLOOMFIELD CENTER SCHOOL,BLOOMFIELD ELEM SCHOOL,Ontario,Public School,108,No,21,0,0,86,Yes,09/28/2016,81,5,Yes,Yes,12/13/2016,Bloomfieldcsd.org,430501040004,RT 20 C,BLOOMFIELD,NY,14469,10/12/2016,12/14/2016,"(42.894571, -77.252045)","RT 20 C
BLOOMFIELD, NY 14469
(42.89891436100004, -77.41813414899997)"
BAYPORT BLUE PT U F SCH,SYLVAN AVENUE ELEM SCHOOL,Suffolk,Public School,96,No,0,0,0,96,Yes,03/22/2019,96,0,Yes,Yes,03/25/2019,http://www.bbpschools.org/NewsAssets/39420/Lead_Testing_101316.pdf,580505020003,600 SYLVAN AVE,BAYPORT,NY,11705,06/12/2019,06/12/2019,"(40.820237, -73.119032)","600 SYLVAN AVE
BAYPORT, NY 11705
(40.75457238600006, -73.04716576699997)"
CARTHAGE CENTRAL SCHOOL,WEST CARTHAGE ELEM SCHOOL,Jefferson,Public School,110,No,68,0,0,42,Yes,10/05/2016,110,0,Yes,Yes,03/08/2017,http://www.carthagecsd.org/,222201060006,21568 COLE RD,CARTHAGE,NY,13619,10/14/2016,09/27/2018,"(44.019295, -75.898971)","21568 COLE RD
CARTHAGE, NY 13619
(43.98115874700005, -75.65654697599996)"
BRONXVILLE UNION FREE SCHOOL,BRONXVILLE HIGH SCHOOL,Westchester,Public School,66,No,0,0,0,66,Yes,10/04/2016,47,19,Yes,Yes,10/28/2016,www.bronxvilleschool.org,660303030002,177 PONDFIELD RD,BRONXVILLE,NY,10708,11/10/2016,11/10/2016,"(41.039278, -73.805386)","177 PONDFIELD RD
BRONXVILLE, NY 10708
(40.93759415100004, -73.83194167499994)"
EAST IRONDEQUOIT CENTRAL SCHOOL,EAST IRONDEQUOIT MIDDLE SCHOOL,Monroe,Public School,181,No,181,0,0,0,Yes,05/04/2016,181,0,Yes,Yes,05/04/2016,http://www.eastiron.org/schools/,260801060012,155 DENSMORE RD,ROCHESTER,NY,14622,10/26/2018,10/26/2018,"(43.161748, -77.620143)","155 DENSMORE RD
ROCHESTER, NY 14622
(43.19079340900004, -77.55073555699994)"
CENTRAL VALLEY SCHOOL DISTRICT,GREGORY B. JARVIS MIDDLE SCHOOL,Herkimer,Public School,115,No,0,0,0,115,Yes,09/29/2016,113,2,Yes,Yes,10/21/2016,http://www.cvalleycsd.org/lead-testing/,212101040001,28 GROVE ST.,MOHAWK,NY,13407,11/22/2016,11/22/2016,"(43.070026, -74.994246)","28 GROVE ST.
MOHAWK, NY 13407
(43.00806498900005, -75.00748112899998)"
CLARKSTOWN CENTRAL SCHOOL,BIRCHWOOD SCHOOL,Rockland,Public School,36,No,0,30,30,6,Yes,09/30/2016,30,6,Yes,Yes,10/26/2016,ccsd.edu,500101060020,214 SICKLETOWN RD,WEST NYACK,NY,10994,05/23/2017,11/10/2016,"(41.127287, -74.017033)","214 SICKLETOWN RD
WEST NYACK, NY 10994
(41.081621092000034, -73.97736427699994)"
AMITYVILLE UNION FREE SCHOOL,PARK AVENUE SCHOOL,Suffolk,Public School,24,No,24,0,0,0,Yes,05/25/2016,24,0,Yes,Yes,09/21/2016,http://amityvilleufsd.org,580106030003,140 PARK AVE,AMITYVILLE,NY,11701,11/04/2016,11/04/2016,"(40.820237, -73.119032)","140 PARK AVE
AMITYVILLE, NY 11701
(40.676209836000055, -73.41820489699995)"
CLARKSTOWN CENTRAL SCHOOL,BARDONIA ELEM SCHOOL,Rockland,Public School,92,No,0,74,74,18,Yes,09/30/2016,81,11,Yes,Yes,10/20/2016,ccsd.edu,500101060002,31 BARDONIA RD,BARDONIA,NY,10954,05/23/2017,11/10/2016,"(41.127287, -74.017033)","31 BARDONIA RD
BARDONIA, NY 10954
(41.10949441300005, -73.99492098399998)"
BOCES No District Name,ST LAWRENCE - LEWIS BOCES EDUCATIONAL SERVICES CTR (LEAD ONLY NO PB SAMPLING),Saint Lawrence,BOCES School,,No,,,,,No,,,,No,No,,,519000000046,40 WEST MAIN STREET,CANTON,NY,13617,,,"(44.689468, -75.242045)","40 WEST MAIN STREET
CANTON, NY 13617
(44.59469444700005, -75.18138218699994)"
CATTARAUGUS-LITTLE VALLEY CSD,CATTARAUGUS CAMP US ES,Cattaraugus,Public School,97,No,0,0,0,97,Yes,09/24/2016,91,6,Yes,Yes,11/09/2016,www.cattlv.wnyric.org,042302040002,25 FRANKLIN ST N,CATTARAUGUS,NY,14719,09/27/2018,10/23/2018,"(42.224267, -78.606673)","25 FRANKLIN ST N
CATTARAUGUS, NY 14719
(42.33450110700005, -78.86180222799999)"
BOCES No District Name,ERIE 1 BOCES KENTON CAREER & TECH CENTER (LEAD ONLY),Erie,BOCES School,85,No,85,0,0,85,Yes,10/27/2016,85,0,Yes,Yes,10/27/2016,www.e1b.org,149100000009,151 TWO MILE CREEK ROAD,TONAWANDA,NY,14510,10/12/2018,10/12/2018,"(42.888143, -78.795544)","151 TWO MILE CREEK ROAD
TONAWANDA, NY 14510
(42.97973531200006, -78.90773631599995)"
BOCES No District Name,ERIE 2 BOCES BAKER ROAD EDUCATIONAL CENTER (LEAD & SCHOOL SURVEY),Erie,BOCES School,34,No,0,0,0,34,Yes,09/29/2016,27,7,Yes,Yes,12/15/2016,http://www.e2ccb.org/resources.cfm?subpage=1991408,142301060009,3340 BAKER ROAD,ORCHARD PARK,NY,14127,05/18/2017,05/18/2017,"(42.888143, -78.795544)","3340 BAKER ROAD
ORCHARD PARK, NY 14127
(42.793567160000066, -78.72648770899997)"
BOCES No District Name,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES SAW MILL @ ELLICOTTVILLE (LEAD ONLY),Cattaraugus,BOCES School,,No,,,,,No,,,,No,No,,,049000000031,5550 ROUTE 242E,ELLICOTTVILLE,NY,14731,,,"(42.224267, -78.606673)","5550 ROUTE 242E
ELLICOTTVILLE, NY 14731
(42.312362843000074, -78.62129177599996)"
BOCES No District Name,EASTERN SUFFOLK BOCES ISLIP CAREER CENTER (LEAD ONLY),Suffolk,BOCES School,115,No,25,0,0,85,Yes,09/15/2018,115,0,Yes,Yes,09/05/2018,https://www.esboces.org/domain/345,581000000061,379 LOCUST AVE,OAKDALE,NY,11796,09/27/2018,09/27/2018,"(40.820237, -73.119032)","379 LOCUST AVE
OAKDALE, NY 11796
(40.74513300000007, -73.11193474899994)"
CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CATO MERIDAN SHS,Cayuga,Public School,57,No,26,0,0,31,Yes,10/28/2016,57,0,No,Yes,04/04/2017,www.catomeridian.org,050401040003,2851 NYS RT 370 E,CATO,NY,13033,11/07/2016,10/18/2018,"(42.940095, -76.560755)","2851 NYS RT 370 E
CATO, NY 13033
(43.17374883100007, -76.55221104499998)"
AUBURN CITY SCHOOLS,WILLIAM H SEWARD ELEMENTARY SCHOOL,Cayuga,Public School,38,No,38,0,0,0,Yes,06/15/2016,38,0,No,Yes,07/28/2016,district.auburn.cnyric.org,050100010008,52 METCALF DR,AUBURN,NY,13021,10/26/2016,10/26/2016,"(42.940095, -76.560755)","52 METCALF DR
AUBURN, NY 13021
(42.91658455900006, -76.55693081499999)"
ALBANY CITY SCHOOL DISTRICT,PINE HILLS ELEMENTARY SCHOOL,Albany,Public School,49,No,0,0,0,49,Yes,09/24/2016,49,0,No,Yes,11/10/2016,http://www.albanyschools.com/,010100010016,41 N ALLEN ST,ALBANY,NY,12203,11/16/2016,11/16/2016,"(42.678066, -73.814233)","41 N ALLEN ST
ALBANY, NY 12203
(42.66772941900007, -73.79070854499997)"
EAST MEADOW UNION FREE SCHOOL,WOODLAND J H S,Nassau,Public School,38,No,33,0,0,5,Yes,09/02/2017,38,0,Yes,Yes,09/07/2017,eastmeadow.k12.ny.us,280203030009,690 WENWOOD DR,EAST MEADOW,NY,11554,10/01/2018,10/01/2018,"(40.715749, -73.601185)","690 WENWOOD DR
EAST MEADOW, NY 11554
(40.70408340800003, -73.55764139699994)"
BOCES No District Name,GREATER SOUTHERN TIER BOCES CRIMINAL JUSTICE BLDG 18 (LEAD ONLY),Schuyler,BOCES School,1,No,1,0,0,0,Yes,04/18/2016,1,0,Yes,Yes,04/22/2016,www.gstboces.org,559000000059,6985 TECHNOLOGY WAY,HORNELL,NY,14843,08/16/2017,08/17/2017,"(42.38593, -76.872032)","6985 TECHNOLOGY WAY
HORNELL, NY 14843
(42.33853676500007, -77.67416105899997)"
BOCES No District Name,ERIE 2 CHAUTAUQUA-CATTARAUGUS BOCES-HEWES CENTER BLDG C (LEAD & SCHOOL SURVEY),Chautauqua,BOCES School,8,No,0,0,0,8,Yes,10/22/2016,8,0,No,Yes,01/19/2017,http://www.e2ccb.org/,069200000001,2615 NORTH  MAPLE STREET,ASHVILLE,NY,14710,01/20/2017,01/20/2017,"(42.246904, -79.315313)","2615 NORTH MAPLE STREET
ASHVILLE, NY 14710
(42.111118944000054, -79.38573263999996)"
CANASTOTA CENTRAL SCHOOL,CANASTOTA  JR SR HIGH SCHOOL,Madison,Public School,109,No,0,0,0,109,Yes,09/24/2016,66,43,Yes,Yes,10/13/2016,canastotacsd.org,250901060004,101 ROBERTS ST,CANASTOTA,NY,13032,11/03/2016,11/04/2016,"(42.986917, -75.720031)","101 ROBERTS ST
CANASTOTA, NY 13032
(43.08236588600005, -75.75034084199996)"
BOCES No District Name,EASTERN SUFFOLK BOCES WHB SPECIAL ED BLDG ANNEX 1 (LEAD ONLY),Suffolk,BOCES School,15,No,6,0,0,8,Yes,05/09/2018,15,0,Yes,Yes,05/09/2018,https://www.esboces.org/domain/345,581000000011,215 OLD RIVERHEAD ROAD,WESTHAMPTON BEACH,NY,11978,10/26/2018,10/26/2018,"(40.820237, -73.119032)","215 OLD RIVERHEAD ROAD
WESTHAMPTON BEACH, NY 11978
(40.84042753700004, -72.64596829099997)"
BOCES No District Name,SULLIVAN BOCES RPEC WSS (LEAD ONLY),Sullivan,BOCES School,32,No,14,0,0,18,Yes,09/01/2017,32,0,Yes,Yes,09/01/2017,https://www.scboces.org/,599000004001,SCHOOLHOUSE ROAD,WHITE SULPHUR SPRINGS,NY,12787,10/09/2018,10/09/2018,"(41.705166, -74.711705)","SCHOOLHOUSE ROAD
WHITE SULPHUR SPRINGS, NY 12787
(41.80376482200006, -74.83174341499995)"
CLARENCE CENTRAL SCHOOL,HARRIS HILL ES,Erie,Public School,92,No,0,0,0,92,Yes,09/21/2016,74,18,Yes,Yes,10/20/2016,http://www.clarenceschools.org/Page/3753,140801060002,4260 SOUTH HARRIS HILL RD,CLARENCE,NY,14031,12/05/2016,12/05/2016,"(42.888143, -78.795544)","4260 SOUTH HARRIS HILL RD
CLARENCE, NY 14031
(42.963032085000066, -78.67721655799994)"
CLYDE-SAVANNAH CENTRAL SCHOOL,CS SENIOR HIGH SCHOOL,Wayne,Public School,76,No,0,0,0,76,Yes,11/04/2016,76,0,Yes,Yes,11/22/2016,http://www.clydesavannah.org/district/business_office/water_testing_results,650301040003,215 GLASGOW ST,CLYDE,NY,14433,10/05/2018,10/31/2018,"(43.144336, -77.117995)","215 GLASGOW ST
CLYDE, NY 14433
(43.08898506700007, -76.86671454999998)"
COXSACKIE- ATHENS C S,COXSACKIE-ATHENS MIDDLE SCHOOL,Greene,Public School,32,No,32,0,0,0,Yes,06/02/2016,32,0,Yes,Yes,08/15/2016,www.cacsd.org,190501040004,SUNSET BOULEVARD,COXSACKIE,NY,12051,12/02/2016,12/02/2016,"(42.298326, -73.973376)","SUNSET BOULEVARD
COXSACKIE, NY 12051
(42.350682868000035, -73.80922977699998)"
CANTON CENTRAL SCHOOL,H C WILLIAMS S H S,Saint Lawrence,Public School,91,No,52,0,0,39,Yes,10/21/2016,90,1,Yes,Yes,12/15/2016,https://sites.google.com/a/cantoncentral.org/district/,510201060003,99 STATE ST,CANTON,NY,13617,12/15/2016,12/15/2016,"(44.689468, -75.242045)","99 STATE ST
CANTON, NY 13617
(44.605120302000046, -75.16765806599994)"
ANDOVER CENTRAL SCHOOL DISTRICT,ANDOVER CENTRAL SCHOOL,Allegany,Public School,132,No,0,0,0,132,Yes,09/29/2016,123,9,Yes,Yes,11/02/2016,andovercsd.org,020601040001,31-35 ELM ST,ANDOVER,NY,14806,11/03/2016,11/03/2016,"(42.226801, -78.020567)","31-35 ELM ST
ANDOVER, NY 14806
(42.15855748300004, -77.79145049999994)"
BOCES No District Name,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES MAYWOOD SCHOOL (LEAD ONLY),Albany,BOCES School,43,No,0,0,0,43,Yes,02/01/2018,42,1,Yes,Yes,03/26/2018,https://www.capitalregionboces.org/,019000000018,1979 CENTRAL AVE,ALBANY,NY,12205,10/11/2018,10/11/2018,"(42.678066, -73.814233)","1979 CENTRAL AVE
ALBANY, NY 12205
(42.74328422600007, -73.86209840699996)"
EAST GREENBUSH CENTRAL SCHOOL,GREEN MEADOW SCHOOL,Rensselaer,Public School,87,No,30,0,0,57,Yes,09/22/2016,70,17,Yes,Yes,12/02/2016,EGCSD.ORG,490301060003,234 SCHUURMAN RD,CASTLETON,NY,12033,01/19/2017,12/05/2016,"(42.70098, -73.628669)","234 SCHUURMAN RD
CASTLETON, NY 12033
(42.56351225100008, -73.68605634299996)"
EAST IRONDEQUOIT CENTRAL SCHOOL,HELENDALE RD PRIMARY SCHOOL,Monroe,Public School,96,No,96,0,0,0,Yes,05/04/2016,96,0,Yes,Yes,05/04/2016,http://www.eastiron.org/schools/,260801060011,220 HELENDALE RD,ROCHESTER,NY,14609,10/26/2018,10/26/2018,"(43.161748, -77.620143)","220 HELENDALE RD
ROCHESTER, NY 14609
(43.174142895000045, -77.54472336999999)"
CANANDAIGUA CITY SCHOOLS,CANANDAIGUA ACADEMY,Ontario,Public School,268,No,268,0,0,268,Yes,10/22/2016,268,0,No,Yes,11/17/2016,www.canandaiguaschools.org,430300050002,435 EAST ST,CANANDAIGUA,NY,14424,09/19/2018,09/19/2018,"(42.894571, -77.252045)","435 EAST ST
CANANDAIGUA, NY 14424
(42.90872648000004, -77.27582152899998)"
BOCES No District Name,GREATER SOUTHERN TIER BOCES WILDWOOD BLDG 7 CULINARY ARTS (LEAD ONLY),Schuyler,BOCES School,3,No,3,0,0,0,Yes,04/18/2016,3,0,Yes,Yes,04/22/2016,www.gstboces.org,559000000030,1126 BALD HILL ROAD,HORNELL,NY,14843,08/16/2017,08/17/2017,"(42.38593, -76.872032)","1126 BALD HILL ROAD
HORNELL, NY 14843
(42.33812763000003, -77.67507173699994)"
CHATHAM CENTRAL SCHOOL DISTRICT,CHATHAM MS,Columbia,Public School,85,No,58,0,0,27,Yes,03/27/2018,85,0,Yes,Yes,03/27/2018,www.chathamcentralschools.com,101001040006,50 WOODBRIDGE AVE,CHATHAM,NY,12037,10/03/2018,10/03/2018,"(42.276913, -73.682168)","50 WOODBRIDGE AVE
CHATHAM, NY 12037
(42.35897003400004, -73.60332879499998)"
BOCES No District Name,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES OLEAN SO AREA OCC CTR (LEAD ONLY),Cattaraugus,BOCES School,54,No,0,0,0,54,Yes,10/24/2016,,,No,No,,http://www.caboces.org/management/esf,049000000008,1825 WINDFALL ROAD,OLEAN,NY,14760,11/28/2018,,"(42.224267, -78.606673)","1825 WINDFALL ROAD
OLEAN, NY 14760
(42.094088697000075, -78.40637389699998)"
BOCES No District Name,JEFFERSON-LEWIS-HAMILTON-HERKIMER-ONEIDA BOCES HOWARD SACKETT CTR (LEAD ONLY),Jefferson,BOCES School,61,No,0,0,0,61,Yes,10/28/2016,60,1,Yes,Yes,05/31/2017,www.boces.org,229000000009,5836 STATE ROUTE 12,GLENFIELD,NY,13343,11/01/2018,11/01/2018,"(44.019295, -75.898971)","5836 STATE ROUTE 12
GLENFIELD, NY 13343
(43.715231337000034, -75.41022647099999)"
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL,MARYVALE PRIMARY SCHOOL,Erie,Public School,123,No,95,0,0,123,Yes,09/24/2016,123,0,Yes,Yes,10/05/2016,http://www.maryvaleufsd.org,140702030003,1 NAGEL DR,CHEEKTOWAGA,NY,14225,10/18/2018,10/15/2018,"(42.888143, -78.795544)","1 NAGEL DR
CHEEKTOWAGA, NY 14225
(42.920522489000064, -78.74653946599994)"
CORTLAND CITY SCHOOLS,ALTON B PARKER SCHOOL,Cortland,Public School,73,No,0,0,0,73,Yes,03/08/2017,73,0,Yes,Yes,03/08/2017,cortlandschools.org,110200010008,MADISON AVE,CORTLAND,NY,13045,09/26/2018,09/27/2018,"(42.597101, -76.143291)","MADISON AVE
CORTLAND, NY 13045
(42.60393058900007, -76.19080238499998)"
EAST RAMAPO CENTRAL SCHOOL,FLEETWOOD ELEM SCHOOL,Rockland,Public School,94,No,0,64,0,9,Yes,11/09/2016,67,27,Yes,Yes,11/09/2016,wwwercsd.org,500402060001,22 FLEETWOOD AVE,SPRING VALLEY,NY,10977,11/02/2018,11/02/2018,"(41.127287, -74.017033)","22 FLEETWOOD AVE
SPRING VALLEY, NY 10977
(41.07315965600003, -74.05947439599998)"
AUBURN CITY SCHOOLS,AUBURN JUNION HIGH SCHOOL,Cayuga,Public School,42,No,42,0,0,0,Yes,06/09/2016,42,0,No,Yes,07/08/2016,district.auburn.cnyric.org,050100010009,191 FRANKLIN ST,AUBURN,NY,13021,10/26/2016,10/26/2016,"(42.940095, -76.560755)","191 FRANKLIN ST
AUBURN, NY 13021
(42.94121976200006, -76.54536316299993)"
BRENTWOOD UNION FREE SCHOOL,LORETTA PARK ELEMENTARY SCHOOL,Suffolk,Public School,38,No,34,0,0,4,Yes,02/21/2017,38,0,Yes,Yes,05/05/2017,www.bufsd.org,580512030005,STAHLEY ST,BRENTWOOD,NY,11717,10/05/2018,10/05/2018,"(40.820237, -73.119032)","STAHLEY ST
BRENTWOOD, NY 11717
(40.760830586000054, -73.22531104799998)"
BOCES No District Name,HERKIMER-FULTON-HAMILTON-OTSEGO BOCES-1,Herkimer,BOCES School,132,No,0,0,0,132,Yes,06/06/2017,127,5,Yes,Yes,06/02/2017,www.herkimer-boces.org,219000000000,352 GROS BLVD,HERKIMER,NY,13350,11/02/2018,11/02/2018,"(43.070026, -74.994246)","352 GROS BLVD
HERKIMER, NY 13350
(43.03672438500007, -74.96405106899994)"
CORNWALL CENTRAL SCHOOL DISTRICT,CORNWALL ON HUDSON ELEM SCHOOL,Orange,Public School,29,No,0,0,0,29,Yes,09/23/2016,23,6,Yes,Yes,10/26/2016,www.cornwallschools.com,440301060002,234 HUDSON ST,CORNWALL-ON-HUDSON,NY,12520,11/02/2016,11/02/2016,"(41.422459, -74.241929)","234 HUDSON ST
CORNWALL-ON-HUDSON, NY 12520
(41.444197658000064, -74.01416079399996)"
BAY SHORE UNION FREE SCHOOL,SOUTH COUNTRY SCHOOL,Suffolk,Public School,23,No,23,0,0,0,Yes,06/18/2016,23,0,Yes,Yes,09/21/2016,http://www.bayshoreschools.org/files/filesystem/Lead%20in%20Water%20Sampling%20Test%20Results%20Web.pdf,580501030005,885 HAMPSHIRE RD,BAY SHORE,NY,11706,10/03/2018,10/03/2018,"(40.820237, -73.119032)","885 HAMPSHIRE RD
BAY SHORE, NY 11706
(40.708702362000054, -73.27665525899994)"
ARLINGTON CENTRAL SCHOOL DISTRICT,VAIL FARM ELEMENTARY SCHOOL,Dutchess,Public School,113,No,0,0,0,113,Yes,09/22/2016,109,4,Yes,Yes,10/21/2016,www.arlingtonschools.org,131601060014,1659 E NOXON RD,LAGRANGEVILLE,NY,12540,10/31/2016,10/31/2016,"(41.686216, -73.840468)","1659 E NOXON RD
LAGRANGEVILLE, NY 12540
(41.65086668400005, -73.73597311499998)"
BERLIN CENTRAL SCHOOL,BERLIN ELEMENTARY SCHOOL,Rensselaer,Public School,38,No,0,0,0,38,Yes,09/28/2016,22,16,Yes,Yes,11/10/2016,berlincentral.org,490101040001,53 School St,BERLIN,NY,12022,10/17/2018,10/17/2018,"(42.70098, -73.628669)","53 School St
BERLIN, NY 12022
(42.68937958200007, -73.36554510199994)"
BUFFALO CITY SCHOOLS,PS 53 COMMUNITY SCHOOL,Erie,Public School,96,No,0,0,0,96,Yes,09/24/2016,93,3,Yes,Yes,10/20/2016,www.buffaloschools.org,140600010053,329 ROEHRER AVE,BUFFALO,NY,14208,01/20/2017,10/10/2018,"(42.888143, -78.795544)","329 ROEHRER AVE
BUFFALO, NY 14208
(42.91276168700006, -78.84908622499995)"
DELHI CENTRAL SCHOOL DISTRICT,DELAWARE ACADEMY ES,Delaware,Public School,75,No,37,0,0,38,Yes,06/14/2017,75,0,No,Yes,06/14/2017,www.delhischools.org,120501040001,2 SHELDON DR,DELHI,NY,13753,09/11/2018,09/24/2018,"(42.242972, -74.997944)","2 SHELDON DR
DELHI, NY 13753
(42.27371750300006, -74.91607399899993)"
BOCES No District Name,ERIE 2 BOCES HEWES EDUCATIONAL CENTER A BLDG (LEAD ONLY),Erie,BOCES School,31,No,0,0,0,31,Yes,10/22/2016,29,2,Yes,Yes,01/18/2017,http://www.e2ccb.org/resources.cfm?subpage=1991408,149200000002,2165 NORTH MAPLE STREET,ASHVILLE,NY,14710,05/18/2017,05/18/2017,"(42.888143, -78.795544)","2165 NORTH MAPLE STREET
ASHVILLE, NY 14710
(42.09433308000007, -79.37502515899996)"
COXSACKIE- ATHENS C S,COXSACKIE ELEM SCHOOL,Greene,Public School,40,No,40,0,0,0,Yes,05/13/2016,40,0,No,Yes,08/15/2016,www.cacsd.org,190501040002,SUNSET BLVD,COXSACKIE,NY,12051,10/26/2016,10/26/2016,"(42.298326, -73.973376)","SUNSET BLVD
COXSACKIE, NY 12051
(42.350682868000035, -73.80922977699998)"
